erronea,corregida
Pense ke seria somo en suento.,Pensé que sería como en el cuento.
Los Huaorani somen sarne inmediatamente.,Los Huaorani comen la carne inmediatamente.
unos hermanos que compré es de madera,unos hermanos que compré son de madera
Solo falta sosa por limpiar.,Solo falta una cosa por limpiar.
"Mantente en el surso, fue defensa propia.","Manténte en el curso, fue defensa propia."
Me gustan perros.,Me gustan los perros.
"Yo estaba aki, yegaste tarde.","Yo estaba aquí, llegaste tarde."
tres niños de mi tío era enormes,tres niños de mi tío eran enormes
muchas vecinas que estaban ahí estaba sucios,muchas vecinas que estaban ahí estaban sucios
"Ez diabética, por lo que zu azúcar en zangre eztaba fuera de control.","Es diabética, por lo que su azúcar en sangre estaba fuera de control."
Porque ez falzo.,Porque es falso.
"Dr. Spence, eztá como científico en jefe.","Dr. Spence, está como científico en jefe."
Ya sabes kien.,Ya sabes quien.
"Bien, no creo que ezo deba zer por fuerza berdad.","Bien, no creo que eso deba ser por fuerza verdad."
muchos niños de la casa estaba rotos,muchos niños de la casa estaban rotos
"- Ma, tienez que llamarlo de buelta!","- Ma, tienes que llamarlo de vuelta!"
varias manzanas que compré era rápidos,varias manzanas que compré eran rápidos
"Ya sabes, Paulie, las chicas judías lo hace siempre.","Ya sabes, Paulie, las chicas judías lo hacen siempre."
¿Y es sulpa mia? Le puse mis datos en unas tarjetas.,¿Y es culpa mía? Le puse mis datos en unas tarjetas.
dos libros que había ahí era buenos,dos libros que había ahí eran buenos
tres chicos que estaban ahí era enormes,tres chicos que estaban ahí eran enormes
varias montañas de la casa es de madera,varias montañas de la casa son de madera
"Tenemos a todos los agentes disponibles ay fuera, buscándole.","Tenemos a todos los agentes disponibles ahí fuera, buscándole."
"Entoncez, ¿qué ez lo ziguiente?","Entonces, ¿qué es lo siguiente?"
¶ Tengo ke ir por delante de la sarrera ¶,¶ Tengo que ir por delante de la carrera ¶
"La resistencia pulmonar se estabilizó en ambos niños, pero presión--","La resistencia pulmonar se estabilizó en ambos niños, pero la presión--"
"Entonses, ¿Que paso?","Entonces, ¿Que paso?"
El tiempo eztá bueno oy.,El tiempo está bueno hoy.
Loz equipamientoz de laz cazaz zon diferentez.,Los equipamientos de las casas son diferentes.
Aora tengo tiempo para azezinar,Ahora tengo tiempo para asesinar
ellos que había ahí tiene dueño,ellos que había ahí tienen dueño
"Buenos dias, Sr. Finley.","Buenos días, Sr. Finley."
Deje de perder tiempo y buske a Chursh.,Deje de perder el tiempo y busque a Church.
"Crizzy, en cuanto me gradúe, me largo.","Chrissy, en cuanto me gradúe, me largo."
tres vecinas de mi tío era antiguos,tres vecinas de mi tío eran antiguos
¿Cómo puede hacerte eso tus amigas?,¿Cómo pueden hacerte eso tus amigas?
estos chicos que encontramos tiene nombre,estos chicos que encontramos tienen nombre
Al final de leyenda,Al final de la leyenda
21% de los niños vive en la pobreza en este país.,21% de los niños viven en la pobreza en este país.
"Si lo necezitaz, erez máz que bienbenido a quedarte en mi caza.","Si lo necesitas, eres más que bienvenido a quedarte en mi casa."
varias plantas del parque era antiguos,varias plantas del parque eran antiguos
varias casas que encontramos era buenos,varias casas que encontramos eran buenos
muchas nubes de mi tío era enormes,muchas nubes de mi tío eran enormes
Y entoncez ella dijo muy bajito:,Y entonces ella dijo muy bajito:
(Cryptozporidium zpp.),(Cryptosporidium spp.)
Eztáz dezpedida.,Estás despedida.
estas historias de la casa era rápidos,estas historias de la casa eran rápidos
"Vamoz, Tom. ¡Vamoz!","Vamos, Tom. ¡Vamos!"
estas amigas de la casa fue caros,estas amigas de la casa fueron caros
varios niños que vimos ayer tiene dueño,varios niños que vimos ayer tienen dueño
Eclipze zolar total.,Eclipse solar total.
las manzanas que encontramos es de mi hermano,las manzanas que encontramos son de mi hermano
"Vamoz, dezpierta.","Vamos, despierta."
dos gatos que llegaron era divertidos,dos gatos que llegaron eran divertidos
Estan arriba hasiendo sus deberes.,Están arriba haciendo sus deberes.
esas historias que había ahí tiene hambre,esas historias que había ahí tienen hambre
"Dennis, vete. Todavia no.","Dennis, vete. Todavía no."
"Nadie manda a Mr. gato por aki, tio.","Nadie manda a Mr. gato por aki, tío."
"No soy somo tu, Grase.","No soy como tú, Grace."
¿No ez eze mi papel?,¿No es ese mi papel?
estos profesores que estaban ahí fue muy bonitos,estos profesores que estaban ahí fueron muy bonitos
esas flores que vimos ayer es de mi hermano,esas flores que vimos ayer son de mi hermano
varios hermanos de la casa es de mi hermano,varios hermanos de la casa son de mi hermano
"Porque los chicos no quiere verse lindos, quieren ser duros y fuertes.","Porque los chicos no quieren verse lindos, quieren ser duros y fuertes."
"Dile que ze ezpabile zola, porque yo...","Dile que se espabile sola, porque yo..."
dos sillas que vimos ayer era rápidos,dos sillas que vimos ayer eran rápidos
"Dios mio, ¿ke voy a haser?","Dios mío, ¿qué voy a hacer?"
los amigos de la casa tiene dueño,los amigos de la casa tienen dueño
Negatibo por negatibo ez igual a pozitibo.,Negativo por negativo es igual a positivo.
estos jugadores que encontramos fue caros,estos jugadores que encontramos fueron caros
No zé qué acer.,No sé qué hacer.
"Parece que zu ezpozo lo robó. Ezo no tiene importancia, Suzanne.","Parece que su esposo lo robó. Eso no tiene importancia, Suzanne."
unas niñas que estaban ahí era antiguos,unas niñas que estaban ahí eran antiguos
Nueva numerasion,Nueva numeración
dos plantas tiene precio,dos plantas tienen precio
Ese pasiente murio de lo mismo ke mi madre y fui un robot.,Ese paciente murió de lo mismo que mi madre y fui un robot.
dos canciones de mi tío era antiguos,dos canciones de mi tío eran antiguos
"Hermana, ¿estas bien?","Hermana, ¿estás bien?"
las niñas que encontramos era divertidos,las niñas que encontramos eran divertidos
Era una alumna de zobrezalientez y aora aprueba por loz peloz.,Era una alumna de sobresalientes y ahora aprueba por los pelos.
tres zapatos que vimos ayer tiene nombre,tres zapatos que vimos ayer tienen nombre
No terminez como tu idiota tío Bob llenando formaz toda zu bida.,No termines como tu idiota tío Bob llenando formas toda su vida.
"- No, no puedez.","- No, no puedes."
"Mira, tengo que zalir de aquí.","Mira, tengo que salir de aquí."
Pero tengo mucaz Trefoilz.,Pero tengo muchas Trefoils.
las historias es de madera,las historias son de madera
"Eztoy zeguro de que le guztaría, conziderando loz cargoz.","Estoy seguro de que le gustaría, considerando los cargos."
12/12/2013 Investigasion judisial sobre puerto de Napoles,12/12/2013 Investigación judicial sobre el puerto de Nápoles
varias puertas que vi estaba mojados,varias puertas que vi estaban mojados
-Me ire son eyos...,-Me iré con ellos...
Si eso hubiera sido fastible.,Si eso hubiera sido factible.
varios amigos que estaban ahí era antiguos,varios amigos que estaban ahí eran antiguos
Costos estandar y espesifisos de Mision,Costos estándar y específicos de la Misión
Ezoz ojoz me pillaron.,Esos ojos me pillaron.
"- Cállate, biejo, cállate.","- Cállate, viejo, cállate."
Paz y zeguridad,Paz y seguridad
Skupin y Pete trabajan en la zegunda pieza.,Skupin y Pete trabajan en la segunda pieza.
- La estetisa eran essasas.,- La estética eran escasas.
Objetiboz y criterioz,Objetivos y criterios
¿Cómo eztá Melly?,¿Cómo está Melly?
- El nuebo zubgerente.,- El nuevo subgerente.
dos niñas que vi estaba listos,dos niñas que vi estaban listos
Aora empieza lo bueno para ti.,Ahora empieza lo bueno para ti.
"pero un pekeño asalto, eso si.","pero un pequeño asalto, eso sí."
estas puertas que tenía era buenos,estas puertas que tenía eran buenos
"Bueno, mira quién eztá aquí.","Bueno, mira quién está aquí."
"Sabes, yo no pienso ke dijera ofisialmente bienvenido.","Sabes, yo no pienso que dijera oficialmente bienvenido."
Las chanclas es para los de la tecnología lo que los tacones son para..,Las chanclas son para los de la tecnología lo que los tacones son para..
"De esho, son bastante interesantes, sabes.","De echo, son bastante interesantes, sabes."
Sekese oidos despues de nadar.,Séquese los oídos después de nadar.
"No, para uno como tú aquí no ay sitio, ya me has costado demasiado.","No, para uno como tú aquí no hay sitio, ya me has costado demasiado."
Tengo que fumigar piso.,Tengo que fumigar el piso.
"Las chicas tontas no es monas, Tammi.","Las chicas tontas no son monas, Tammi."
"Mushasha, essushe...","Muchacha, escuche..."
varias casas que vimos ayer fue muy bonitos,varias casas que vimos ayer fueron muy bonitos
varias amigas que encontramos estaba rotos,varias amigas que encontramos estaban rotos
ellas de mi tío es de mi hermano,ellas de mi tío son de mi hermano
Ojee su pagina web.,Ojeé su página web.
De ezto ze trata.,De esto se trata.
Sus pautas es muy similares e incluyen los siguientes consejos:,Sus pautas son muy similares e incluyen los siguientes consejos:
unos profesores que vi estaba cerrados,unos profesores que vi estaban cerrados
"Louize, ¿cómo eztáz?","Louise, ¿cómo estás?"
El bombón italiano eztá dentro.,El bombón italiano está dentro.
dos regalos que había ahí estaba sucios,dos regalos que había ahí estaban sucios
¿Haz bizto bien a Bea?,¿Has visto bien a Bea?
dos mesas de mi tío estaba cerrados,dos mesas de mi tío estaban cerrados
muchas niñas que tenía estaba mojados,muchas niñas que tenía estaban mojados
Crei ke se habian perdido ayi me alegra ke volvieran.,Creí que se habían perdido allí me alegra que volvieran.
"Os autorizo, para sonvenserle, a desirle ke es un asunto de vida o muerte.","Os autorizo, para convencerle, a decirle que es un asunto de vida o muerte."
Seras una gran mujer.,Serás una gran mujer.
unos gatos del parque estaba mojados,unos gatos del parque estaban mojados
"Ganalo, y te yevaras todo.","Gánalo, y te llevarás todo."
- vino con pocas provisiones.,- Vinieron con pocas provisiones.
? ya no me humiyaste lo sufisiente?,? ya no me humillaste lo suficiente?
Ezto ez general Guan Yu.,Esto es general Guan Yu.
"¿Puedo ayudarlo, zeñor?","¿Puedo ayudarlo, señor?"
"Pero, ¿kien va a essribir sansion?","Pero, ¿quién va a escribir la canción?"
Tiene sentido que pagues balance de tu tarjeta de crédito todos los meses.,Tiene sentido que pagues el balance de tu tarjeta de crédito todos los meses.
ellas que estaban ahí era rápidos,ellas que estaban ahí eran rápidos
El linaje de Ha Bong Do eztá a punto de terminar aquí.,El linaje de Ha Bong Do está a punto de terminar aquí.
ellos de mi tío estaba cerrados,ellos de mi tío estaban cerrados
varias chicas del parque es importantes,varias chicas del parque son importantes
¿Le aplaudieron al berlo?,¿Le aplaudieron al verlo?
tres juguetes que compré fue pequeños,tres juguetes que compré fueron pequeños
Pero uno de ezoz podria ayudar a extender eze tiempo,Pero uno de esos podria ayudar a extender ese tiempo
"Pero... ¿ve somo no puedo dejarle solo, ke sin mi usted no razona?","Pero... ¿ve cómo no puedo dejarle solo, que sin mí usted no razona?"
A frutas Para absolutos,A las frutas Para absolutos
"Bueno, zi no lo izo antez, ciertamente lo ará aora.","Bueno, si no lo hizo antes, ciertamente lo hará ahora."
"Dessongestionantes, sprays nasales, todo eso. La porkeria de sonsumo.","Descongestionantes, sprays nasales, todo eso. La porquería de consumo."
Sé que ezo no ez berdad.,Sé que eso no es verdad.
Hoy llegaron eztaz fotoz que tomó de un biaje.,Hoy llegaron estas fotos que tomó de un viaje.
unas puertas que me diste era rápidos,unas puertas que me diste eran rápidos
"Organization Studiez , 25 (2), 261-286.","Organization Studies , 25 (2), 261-286."
"La Sra. Betel (Baamaz), Viceprezidenta, ocupa la Prezidencia.","La Sra. Bethel (Bahamas), Vicepresidenta, ocupa la Presidencia."
"Una bez máz, ármeze con conocimientoz y forme zuz propiaz concluzionez.","Una vez más, ármese con conocimientos y forme sus propias conclusiones."
"No te acordaráz de nada, tampoco te cobraremoz la aziztencia técnica.","No te acordarás de nada, tampoco te cobraremos la asistencia técnica."
"Grasias. Jefe, tenemos algo relasionado son orden de buskeda.","Gracias. Jefe, tenemos algo relacionado con la orden de búsqueda."
tres autos que estaban ahí estaba mojados,tres autos que estaban ahí estaban mojados
varias canciones que me diste era enormes,varias canciones que me diste eran enormes
estos regalos del parque fue muy grandes,estos regalos del parque fueron muy grandes
"Claro, mas kisieras.","Claro, más quisieras."
Ekipo de turbina,Equipo de turbina
"Chisos, miren...","Chicos, miren..."
unos cuadros era divertidos,unos cuadros eran divertidos
O Miembro SPD (desde 1962).,O Miembro del SPD (desde 1962).
Jason esta finalmente jodidamente muerto.,Jason está finalmente jodidamente muerto.
esas flores que vi estaba rotos,esas flores que vi estaban rotos
los hermanos que llegaron estaba cerrados,los hermanos que llegaron estaban cerrados
ellos que encontramos tiene hambre,ellos que encontramos tienen hambre
esas casas que estaban ahí era rápidos,esas casas que estaban ahí eran rápidos
Dezpuéz pazó lo inebitable.,Después pasó lo inevitable.
No necezito berloz.,No necesito verlos.
"O, Dioz mio, Jimmy.","Oh, Dios mio, Jimmy."
Con miz amigaz.,Con mis amigas.
Jefe de la delegasion de Jamaisa en diferentes asambleas de la OACI,Jefe de la delegación de Jamaica en diferentes asambleas de la OACI
"Despues de saerte, fuiste a alguna parte, ¿Como yegaste?","Después de caerte, fuiste a alguna parte, ¿Cómo llegaste?"
varias casas que vi tiene precio,varias casas que vi tienen precio
Ezte Conbenio data de 1983.,Este Convenio data de 1983.
"Hipócritaz, todoz elloz.","Hipócritas, todos ellos."
"Eztaráz máz zaludable, máz inteligente, máz compazibo y máz feliz.","Estarás más saludable, más inteligente, más compasivo y más feliz."
"Asi le das una bofetada en sara a alguien mas, ¡¿eh?","Así le das una bofetada en la cara a alguien más, ¡¿eh?"
los pájaros de la casa fue muy grandes,los pájaros de la casa fueron muy grandes
